Hospital_ID,Hospital_Name,City,Latitude,Longitude,Date,Type,Beds,Specialty,Rating
1,SVIMS Hospital,Tirupati,13.6288,79.4192,2026-04-01,Government,1200,Multi-speciality,4.5
2,Ruya Hospital,Tirupati,13.6281,79.4185,2026-04-02,Government,1000,General,4.3
3,BIRRD Hospital,Tirupati,13.6325,79.4201,2026-04-03,Trust,500,Orthopedic,4.4
4,SVRR Government Hospital,Tirupati,13.6279,79.4178,2026-04-04,Government,900,General,4.2
5,Apollo Clinic,Tirupati,13.635,79.4222,2026-04-05,Private,150,Multi-speciality,4.6
6,Sai Ram Hospital,Tirupati,13.6301,79.4215,2026-04-06,Private,120,Cardiology,4.1
7,Vijaya Hospital,Tirupati,13.6265,79.4168,2026-04-07,Private,200,General,4.0
8,Lotus Hospital,Tirupati,13.6342,79.424,2026-04-08,Private,180,Gynecology,4.3
9,Sree Hospital,Tirupati,13.6318,79.4199,2026-04-09,Private,160,Pediatrics,4.2
10,Mother Hospital,Tirupati,13.6295,79.418,2026-04-10,Private,140,Maternity,4.1
11,Medicover Hospital,Tirupati,13.6335,79.423,2026-04-11,Private,220,Multi-speciality,4.5
12,Surya Hospital,Tirupati,13.627,79.417,2026-04-12,Private,130,General,4.0
13,LifeCare Hospital,Tirupati,13.636,79.4255,2026-04-13,Private,110,Emergency,4.2
14,City Hospital,Tirupati,13.6289,79.4207,2026-04-14,Private,150,General,4.1
15,Star Hospital,Tirupati,13.632,79.421,2026-04-15,Private,200,Multi-speciality,4.4
16,Sunrise Hospital,Tirupati,13.6348,79.4238,2026-04-16,Private,170,General,4.3
17,Greenlife Hospital,Tirupati,13.6268,79.4165,2026-04-17,Private,140,General,4.0
18,Hope Hospital,Tirupati,13.6309,79.4203,2026-04-18,Private,130,Pediatrics,4.2
19,Wellness Hospital,Tirupati,13.6315,79.4195,2026-04-19,Private,120,General,4.1
20,Global Hospital,Tirupati,13.6355,79.4248,2026-04-20,Private,250,Multi-speciality,4.6
21,Srikalahasti Government Hospital,Srikalahasti,13.749,79.7035,2026-04-01,Government,300,General,4.2
22,Sai Krishna Hospital,Srikalahasti,13.7485,79.7028,2026-04-02,Private,120,General,4.1
23,Sri Sai Hospital,Srikalahasti,13.7502,79.7042,2026-04-03,Private,100,General,4.0
24,Lakshmi Hospital,Srikalahasti,13.7478,79.7019,2026-04-04,Private,90,Maternity,4.1
25,City Care Hospital,Srikalahasti,13.7498,79.703,2026-04-05,Private,110,General,4.2
26,LifeLine Hospital,Srikalahasti,13.7489,79.7022,2026-04-06,Private,130,Emergency,4.3
27,Sun Hospital,Srikalahasti,13.7505,79.7045,2026-04-07,Private,95,General,4.0
28,HealthPlus Hospital,Srikalahasti,13.7475,79.7015,2026-04-08,Private,85,Pediatrics,4.1
29,Sri Venkateswara Hospital,Srikalahasti,13.7493,79.7038,2026-04-09,Private,140,Multi-speciality,4.4
30,Arogya Hospital,Srikalahasti,13.748,79.702,2026-04-10,Private,100,General,4.2
31,Medicare Hospital,Srikalahasti,13.75,79.704,2026-04-11,Private,120,General,4.3
32,Prime Hospital,Srikalahasti,13.7472,79.701,2026-04-12,Private,90,General,4.0
33,Shanti Hospital,Srikalahasti,13.7495,79.7032,2026-04-13,Private,80,Maternity,4.1
34,Healing Touch Hospital,Srikalahasti,13.7487,79.7026,2026-04-14,Private,110,General,4.2
35,New Life Hospital,Srikalahasti,13.7508,79.7048,2026-04-15,Private,95,General,4.0
36,Good Health Hospital,Srikalahasti,13.7479,79.7018,2026-04-16,Private,100,General,4.1
37,Trust Hospital,Srikalahasti,13.7491,79.7036,2026-04-17,Private,130,Multi-speciality,4.3
38,People Care Hospital,Srikalahasti,13.7483,79.7024,2026-04-18,Private,90,General,4.0
39,City Plus Hospital,Srikalahasti,13.7503,79.7043,2026-04-19,Private,120,General,4.2
40,Advanced Hospital,Srikalahasti,13.7476,79.7016,2026-04-20,Private,150,Multi-speciality,4.4
